,branch,variable,expression
94,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\Phoenix Lake Pleasant WTP,Activity Level,100
95,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\Phoenix Lake Pleasant WTP,Final Energy Intensity Time Sliced,0.1743*WEAPValue(Supply and Resources\Transmission Links\to Indian\from CAP Withdrawal:Flow[m^3])*568.685*0.000810714
96,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\Glendale Pyramid WTP,Activity Level,100
97,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\Glendale Pyramid WTP,Final Energy Intensity Time Sliced,0.085*WEAPValue(Supply and Resources\Transmission Links\to Indian\from CAP Withdrawal:Flow[m^3])*576.862*0.000810714
98,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\Phoenix Union Hills WTP,Activity Level,100
99,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\Phoenix Union Hills WTP,Final Energy Intensity Time Sliced,0.3486*WEAPValue(Supply and Resources\Transmission Links\to Indian\from CAP Withdrawal:Flow[m^3])*560.795*0.000810714
100,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\Scottsdale WTP,Activity Level,100
101,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\Scottsdale WTP,Final Energy Intensity Time Sliced,0.1525*WEAPValue(Supply and Resources\Transmission Links\to Indian\from CAP Withdrawal:Flow[m^3])*570.53*0.000810714
102,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\Mesa WTP,Activity Level,100
103,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\Mesa WTP,Final Energy Intensity Time Sliced,0.1569*WEAPValue(Supply and Resources\Transmission Links\to Indian\from CAP Withdrawal:Flow[m^3])*570.21*0.000810714
104,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\Chandler Gilbert Santan Vista WTP,Activity Level,100
105,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\Chandler Gilbert Santan Vista WTP,Final Energy Intensity Time Sliced,0.0523*WEAPValue(Supply and Resources\Transmission Links\to Indian\from CAP Withdrawal:Flow[m^3])*582.388*0.000810714
106,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Peoria Greenway WTP,Activity Level,100
107,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Peoria Greenway WTP,Final Energy Intensity Time Sliced,0.0215*WEAPValue(Supply and Resources\Transmission Links\to Indian\from SRP Withdrawal:Flow[m^3])*589.692*0.000810714
108,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Glendale Cholla WTP,Activity Level,100
109,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Glendale Cholla WTP,Final Energy Intensity Time Sliced,0.1226*WEAPValue(Supply and Resources\Transmission Links\to Indian\from SRP Withdrawal:Flow[m^3])*589.692*0.000810714
110,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Phoenix Deer Valley WTP,Activity Level,100
111,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Phoenix Deer Valley WTP,Final Energy Intensity Time Sliced,0.0598*WEAPValue(Supply and Resources\Transmission Links\to Indian\from SRP Withdrawal:Flow[m^3])*568.834*0.000810714
112,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Glendale Oasis WTP,Activity Level,100
113,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Glendale Oasis WTP,Final Energy Intensity Time Sliced,0.1706*WEAPValue(Supply and Resources\Transmission Links\to Indian\from SRP Withdrawal:Flow[m^3])*592.967*0.000810714
114,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Phoenix 24th St WTP,Activity Level,100
115,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Phoenix 24th St WTP,Final Energy Intensity Time Sliced,0.1073*WEAPValue(Supply and Resources\Transmission Links\to Indian\from SRP Withdrawal:Flow[m^3])*565.004*0.000810714
116,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Scottsdale Chaparral WTP,Activity Level,100
117,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Scottsdale Chaparral WTP,Final Energy Intensity Time Sliced,0.1103*WEAPValue(Supply and Resources\Transmission Links\to Indian\from SRP Withdrawal:Flow[m^3])*582.537*0.000810714
118,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Tempe Martinez WTP,Activity Level,100
119,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Tempe Martinez WTP,Final Energy Intensity Time Sliced,0.0368*WEAPValue(Supply and Resources\Transmission Links\to Indian\from SRP Withdrawal:Flow[m^3])*576.723*0.000810714
120,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\South Tempe WTP,Activity Level,100
121,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\South Tempe WTP,Final Energy Intensity Time Sliced,0.0199*WEAPValue(Supply and Resources\Transmission Links\to Indian\from SRP Withdrawal:Flow[m^3])*576.723*0.000810714
122,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Phoenix Mesa Val Vista WTP,Activity Level,100
123,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Phoenix Mesa Val Vista WTP,Final Energy Intensity Time Sliced,0.0375*WEAPValue(Supply and Resources\Transmission Links\to Indian\from SRP Withdrawal:Flow[m^3])*559.534*0.000810714
124,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Gilbert WTP,Activity Level,100
125,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Gilbert WTP,Final Energy Intensity Time Sliced,0.1245*WEAPValue(Supply and Resources\Transmission Links\to Indian\from SRP Withdrawal:Flow[m^3])*577.922*0.000810714
126,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Chandler WTP,Activity Level,100
127,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Chandler WTP,Final Energy Intensity Time Sliced,0.0149*WEAPValue(Supply and Resources\Transmission Links\to Indian\from SRP Withdrawal:Flow[m^3])*574.648*0.000810714
128,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Verde WTP,Activity Level,100
129,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Verde WTP,Final Energy Intensity Time Sliced,0.1743*WEAPValue(Supply and Resources\Transmission Links\to Indian\from SRP Withdrawal:Flow[m^3])*576.723*0.000810714
130,Demand\Industrial\Water infrastructure\Indian\Groundwater\Pumping,Activity Level,100
131,Demand\Industrial\Water infrastructure\Indian\Groundwater\Pumping,Final Energy Intensity Time Sliced,(WEAPValue(Supply and Resources\Transmission Links\to Indian\from Groundwater:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Indian\from GW_Backup:Flow[m^3]))*298*0.000810714
132,Demand\Industrial\Water infrastructure\Indian\Groundwater\Treatment and distribution,Activity Level,100
133,Demand\Industrial\Water infrastructure\Indian\Groundwater\Treatment and distribution,Final Energy Intensity Time Sliced,(WEAPValue(Supply and Resources\Transmission Links\to Indian\from Groundwater:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Indian\from GW_Backup:Flow[m^3]))*130.34*0.000810714
134,Demand\Industrial\Water infrastructure\Industrial\CAP\Conveyance\Mark Wilmer,Activity Level,100
135,Demand\Industrial\Water infrastructure\Industrial\CAP\Conveyance\Mark Wilmer,Final Energy Intensity Time Sliced,0.6129*(WEAPValue(Supply and Resources\Transmission Links\to Industrial\from CAP Withdrawal:Flow[m^3]) + WEAPValue(Demand Sites and Catchments\Adaman\VegFruit:Flow[m^3]) + WEAPValue(!Invalid_Branch_Reference!))*1028*0.000810714
136,Demand\Industrial\Water infrastructure\Industrial\CAP\Conveyance\Bouse Hills,Activity Level,100
137,Demand\Industrial\Water infrastructure\Industrial\CAP\Conveyance\Bouse Hills,Final Energy Intensity Time Sliced,0.6129*(WEAPValue(Supply and Resources\Transmission Links\to Industrial\from CAP Withdrawal:Flow[m^3]) + WEAPValue(Demand Sites and Catchments\Adaman\VegFruit:Flow[m^3]) + WEAPValue(!Invalid_Branch_Reference!))*147*0.000810714
138,Demand\Industrial\Water infrastructure\Industrial\CAP\Conveyance\Little Harquahala,Activity Level,100
139,Demand\Industrial\Water infrastructure\Industrial\CAP\Conveyance\Little Harquahala,Final Energy Intensity Time Sliced,0.6129*(WEAPValue(Supply and Resources\Transmission Links\to Industrial\from CAP Withdrawal:Flow[m^3]) + WEAPValue(Demand Sites and Catchments\Adaman\VegFruit:Flow[m^3]) + WEAPValue(!Invalid_Branch_Reference!))*143*0.000810714
140,Demand\Industrial\Water infrastructure\Industrial\CAP\Conveyance\Hassayampa,Activity Level,100
141,Demand\Industrial\Water infrastructure\Industrial\CAP\Conveyance\Hassayampa,Final Energy Intensity Time Sliced,0.6129*(WEAPValue(Supply and Resources\Transmission Links\to Industrial\from CAP Withdrawal:Flow[m^3]) + WEAPValue(Demand Sites and Catchments\Adaman\VegFruit:Flow[m^3]) + WEAPValue(!Invalid_Branch_Reference!))*242*0.000810714
142,Demand\Industrial\Water infrastructure\Industrial\CAP\Conveyance\Waddell,Activity Level,100
143,Demand\Industrial\Water infrastructure\Industrial\CAP\Conveyance\Waddell,Final Energy Intensity Time Sliced,0.3871*(WEAPValue(Supply and Resources\Transmission Links\to Industrial\from CAP Withdrawal:Flow[m^3]) + WEAPValue(Demand Sites and Catchments\Adaman\VegFruit:Flow[m^3]) + WEAPValue(!Invalid_Branch_Reference!))*242*0.000810714
144,Demand\Industrial\Water infrastructure\Industrial\CAP\Treatment and distribution\White Tanks WTP,Activity Level,100
145,Demand\Industrial\Water infrastructure\Industrial\CAP\Treatment and distribution\White Tanks WTP,Final Energy Intensity Time Sliced,0.0304*(WEAPValue(Supply and Resources\Transmission Links\to Industrial\from CAP Withdrawal:Flow[m^3]) + WEAPValue(Demand Sites and Catchments\Adaman\VegFruit:Flow[m^3]) + WEAPValue(!Invalid_Branch_Reference!))*588.523*0.000810714
146,Demand\Industrial\Water infrastructure\Industrial\CAP\Treatment and distribution\Phoenix Lake Pleasant WTP,Activity Level,100
147,Demand\Industrial\Water infrastructure\Industrial\CAP\Treatment and distribution\Phoenix Lake Pleasant WTP,Final Energy Intensity Time Sliced,0.1743*(WEAPValue(Supply and Resources\Transmission Links\to Industrial\from CAP Withdrawal:Flow[m^3]) + WEAPValue(Demand Sites and Catchments\Adaman\VegFruit:Flow[m^3]) + WEAPValue(!Invalid_Branch_Reference!))*568.685*0.000810714
148,Demand\Industrial\Water infrastructure\Industrial\CAP\Treatment and distribution\Glendale Pyramid WTP,Activity Level,100
149,Demand\Industrial\Water infrastructure\Industrial\CAP\Treatment and distribution\Glendale Pyramid WTP,Final Energy Intensity Time Sliced,0.085*(WEAPValue(Supply and Resources\Transmission Links\to Industrial\from CAP Withdrawal:Flow[m^3]) + WEAPValue(Demand Sites and Catchments\Adaman\VegFruit:Flow[m^3]) + WEAPValue(!Invalid_Branch_Reference!))*576.862*0.000810714
150,Demand\Industrial\Water infrastructure\Industrial\CAP\Treatment and distribution\Phoenix Union Hills WTP,Activity Level,100
151,Demand\Industrial\Water infrastructure\Industrial\CAP\Treatment and distribution\Phoenix Union Hills WTP,Final Energy Intensity Time Sliced,0.3486*(WEAPValue(Supply and Resources\Transmission Links\to Industrial\from CAP Withdrawal:Flow[m^3]) + WEAPValue(Demand Sites and Catchments\Adaman\VegFruit:Flow[m^3]) + WEAPValue(!Invalid_Branch_Reference!))*560.795*0.000810714
152,Demand\Industrial\Water infrastructure\Industrial\CAP\Treatment and distribution\Scottsdale WTP,Activity Level,100
153,Demand\Industrial\Water infrastructure\Industrial\CAP\Treatment and distribution\Scottsdale WTP,Final Energy Intensity Time Sliced,0.1525*(WEAPValue(Supply and Resources\Transmission Links\to Industrial\from CAP Withdrawal:Flow[m^3]) + WEAPValue(Demand Sites and Catchments\Adaman\VegFruit:Flow[m^3]) + WEAPValue(!Invalid_Branch_Reference!))*570.53*0.000810714
154,Demand\Industrial\Water infrastructure\Industrial\CAP\Treatment and distribution\Mesa WTP,Activity Level,100
155,Demand\Industrial\Water infrastructure\Industrial\CAP\Treatment and distribution\Mesa WTP,Final Energy Intensity Time Sliced,0.1569*(WEAPValue(Supply and Resources\Transmission Links\to Industrial\from CAP Withdrawal:Flow[m^3]) + WEAPValue(Demand Sites and Catchments\Adaman\VegFruit:Flow[m^3]) + WEAPValue(!Invalid_Branch_Reference!))*570.21*0.000810714
156,Demand\Industrial\Water infrastructure\Industrial\CAP\Treatment and distribution\Chandler Gilbert Santan Vista WTP,Activity Level,100
157,Demand\Industrial\Water infrastructure\Industrial\CAP\Treatment and distribution\Chandler Gilbert Santan Vista WTP,Final Energy Intensity Time Sliced,0.0523*(WEAPValue(Supply and Resources\Transmission Links\to Industrial\from CAP Withdrawal:Flow[m^3]) + WEAPValue(Demand Sites and Catchments\Adaman\VegFruit:Flow[m^3]) + WEAPValue(!Invalid_Branch_Reference!))*582.388*0.000810714
158,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Peoria Greenway WTP,Activity Level,100
159,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Peoria Greenway WTP,Final Energy Intensity Time Sliced,0.0215*WEAPValue(Supply and Resources\Transmission Links\to Industrial\from SRP Withdrawal:Flow[m^3])*589.692*0.000810714
160,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Glendale Cholla WTP,Activity Level,100
161,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Glendale Cholla WTP,Final Energy Intensity Time Sliced,0.1226*WEAPValue(Supply and Resources\Transmission Links\to Industrial\from SRP Withdrawal:Flow[m^3])*589.692*0.000810714
162,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Phoenix Deer Valley WTP,Activity Level,100
163,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Phoenix Deer Valley WTP,Final Energy Intensity Time Sliced,0.0598*WEAPValue(Supply and Resources\Transmission Links\to Industrial\from SRP Withdrawal:Flow[m^3])*568.834*0.000810714
164,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Glendale Oasis WTP,Activity Level,100
165,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Glendale Oasis WTP,Final Energy Intensity Time Sliced,0.1706*WEAPValue(Supply and Resources\Transmission Links\to Industrial\from SRP Withdrawal:Flow[m^3])*592.967*0.000810714
166,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Phoenix 24th St WTP,Activity Level,100
167,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Phoenix 24th St WTP,Final Energy Intensity Time Sliced,0.1073*WEAPValue(Supply and Resources\Transmission Links\to Industrial\from SRP Withdrawal:Flow[m^3])*565.004*0.000810714
168,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Scottsdale Chaparral WTP,Activity Level,100
169,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Scottsdale Chaparral WTP,Final Energy Intensity Time Sliced,0.1103*WEAPValue(Supply and Resources\Transmission Links\to Industrial\from SRP Withdrawal:Flow[m^3])*582.537*0.000810714
170,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Tempe Martinez WTP,Activity Level,100
171,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Tempe Martinez WTP,Final Energy Intensity Time Sliced,0.0368*WEAPValue(Supply and Resources\Transmission Links\to Industrial\from SRP Withdrawal:Flow[m^3])*576.723*0.000810714
172,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\South Tempe WTP,Activity Level,100
173,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\South Tempe WTP,Final Energy Intensity Time Sliced,0.0199*WEAPValue(Supply and Resources\Transmission Links\to Industrial\from SRP Withdrawal:Flow[m^3])*576.723*0.000810714
174,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Phoenix Mesa Val Vista WTP,Activity Level,100
175,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Phoenix Mesa Val Vista WTP,Final Energy Intensity Time Sliced,0.0375*WEAPValue(Supply and Resources\Transmission Links\to Industrial\from SRP Withdrawal:Flow[m^3])*559.534*0.000810714
176,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Gilbert WTP,Activity Level,100
177,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Gilbert WTP,Final Energy Intensity Time Sliced,0.1245*WEAPValue(Supply and Resources\Transmission Links\to Industrial\from SRP Withdrawal:Flow[m^3])*577.922*0.000810714
178,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Chandler WTP,Activity Level,100
179,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Chandler WTP,Final Energy Intensity Time Sliced,0.0149*WEAPValue(Supply and Resources\Transmission Links\to Industrial\from SRP Withdrawal:Flow[m^3])*574.648*0.000810714
180,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Verde WTP,Activity Level,100
181,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Verde WTP,Final Energy Intensity Time Sliced,0.1743*WEAPValue(Supply and Resources\Transmission Links\to Industrial\from SRP Withdrawal:Flow[m^3])*576.723*0.000810714
182,Demand\Industrial\Water infrastructure\Industrial\Groundwater\Pumping,Activity Level,100
183,Demand\Industrial\Water infrastructure\Industrial\Groundwater\Pumping,Final Energy Intensity Time Sliced,(WEAPValue(Supply and Resources\Transmission Links\to Industrial\from Groundwater:Flow[m^3]) + WEAPValue(!Invalid_Branch_Reference!) + WEAPValue(!Invalid_Branch_Reference!) + WEAPValue(!Invalid_Branch_Reference!) + WEAPValue(!Invalid_Branch_Reference!) + WEAPValue(!Invalid_Branch_Reference!) + WEAPValue(Demand Sites and Catchments\Saint_Joins\VegFruit:Flow[m^3]) + WEAPValue(Demand Sites and Catchments\Buckeye\VegFruit:Flow[m^3]) + WEAPValue(!Invalid_Branch_Reference!) + WEAPValue(!Invalid_Branch_Reference!) + WEAPValue(Supply and Resources\Transmission Links\to Industrial\from GW_Backup:Flow[m^3]) + WEAPValue(!Invalid_Branch_Reference!) + WEAPValue(!Invalid_Branch_Reference!) + WEAPValue(!Invalid_Branch_Reference!) + WEAPValue(!Invalid_Branch_Reference!) + WEAPValue(!Invalid_Branch_Reference!) + WEAPValue(Demand Sites and Catchments\Roosevelt_Water_Consertation\VegFruit:Flow[m^3]) + WEAPValue(Demand Sites and Catchments\Maricopa_Water_District\VegFruit:Flow[m^3]) + WEAPValue(!Invalid_Branch_Reference!) + WEAPValue(!Invalid_Branch_Reference!))*298*0.000810714
184,Demand\Industrial\Water infrastructure\Industrial\Groundwater\Treatment and distribution,Activity Level,100
185,Demand\Industrial\Water infrastructure\Industrial\Groundwater\Treatment and distribution,Final Energy Intensity Time Sliced,(WEAPValue(Supply and Resources\Transmission Links\to Industrial\from Groundwater:Flow[m^3]) + WEAPValue(!Invalid_Branch_Reference!) + WEAPValue(!Invalid_Branch_Reference!) + WEAPValue(!Invalid_Branch_Reference!) + WEAPValue(!Invalid_Branch_Reference!) + WEAPValue(!Invalid_Branch_Reference!) + WEAPValue(Demand Sites and Catchments\Saint_Joins\VegFruit:Flow[m^3]) + WEAPValue(Demand Sites and Catchments\Buckeye\VegFruit:Flow[m^3]) + WEAPValue(!Invalid_Branch_Reference!) + WEAPValue(!Invalid_Branch_Reference!) + WEAPValue(Supply and Resources\Transmission Links\to Industrial\from GW_Backup:Flow[m^3]) + WEAPValue(!Invalid_Branch_Reference!) + WEAPValue(!Invalid_Branch_Reference!) + WEAPValue(!Invalid_Branch_Reference!) + WEAPValue(!Invalid_Branch_Reference!) + WEAPValue(!Invalid_Branch_Reference!) + WEAPValue(Demand Sites and Catchments\Roosevelt_Water_Consertation\VegFruit:Flow[m^3]) + WEAPValue(Demand Sites and Catchments\Maricopa_Water_District\VegFruit:Flow[m^3]) + WEAPValue(!Invalid_Branch_Reference!) + WEAPValue(!Invalid_Branch_Reference!))*130.34*0.000810714
186,Demand\Industrial\Water infrastructure\WWTP\Wastewater treatment and pumping\WWTP,Activity Level,1
187,Demand\Industrial\Water infrastructure\WWTP\Wastewater treatment and pumping\WWTP,Final Energy Intensity Time Sliced,"WEAPValue(Water Quality\Wastewater Treatment\WWTP_1:Wastewater Treatment Plant Total Inflow[m^3])*Step(2008, 850, 2012, 890)*0.000810714"
188,Demand\Industrial\Water infrastructure\WWTP\Reclaimed water treatment and pumping\WRF,Activity Level,1
189,Demand\Industrial\Water infrastructure\WWTP\Reclaimed water treatment and pumping\WRF,Final Energy Intensity Time Sliced,WEAPValue(Water Quality\Wastewater Treatment\WWTP_2:Wastewater Treatment Plant Total Inflow[m^3]) * 1000 * 0.000810714
190,Resources\Primary\Hydro,Resource Imports,0
191,Resources\Primary\Hydro,Resource Exports,0
192,Resources\Primary\Coal Sub bituminous,Resource Imports,0
193,Resources\Primary\Coal Sub bituminous,Resource Exports,0
194,Resources\Primary\Coal Sub bituminous,Additions to Reserves,0
195,Resources\Primary\Nuclear,Resource Imports,0
196,Resources\Primary\Nuclear,Resource Exports,0
197,Resources\Primary\Nuclear,Additions to Reserves,0
198,Resources\Primary\Solar,Resource Imports,0
199,Resources\Primary\Solar,Resource Exports,0
200,Resources\Primary\Wind,Resource Imports,0
201,Resources\Primary\Wind,Resource Exports,0
202,Resources\Primary\Coal Unspecified,Resource Imports,0
203,Resources\Primary\Coal Unspecified,Resource Exports,0
204,Resources\Primary\Coal Unspecified,Additions to Reserves,0
205,Resources\Primary\Coal Bituminous,Resource Imports,0
206,Resources\Primary\Coal Bituminous,Resource Exports,0
207,Resources\Primary\Coal Bituminous,Additions to Reserves,0
208,Resources\Primary\Natural Gas,Resource Imports,0
209,Resources\Primary\Natural Gas,Resource Exports,0
210,Resources\Primary\Natural Gas,Additions to Reserves,0
211,Resources\Secondary\Electricity,Resource Imports,0
212,Resources\Secondary\Electricity,Resource Exports,0
